file_stem,INTRO_mtld,INTRO_sentence_length,BODY_mtld,BODY_sentence_length,DISCUSSION_mtld,DISCUSSION_sentence_length,CONCLUSION_mtld,CONCLUSION_sentence_length,OTHER_mtld,OTHER_sentence_length
16-Untwining the Threads in John Banville_s Birchwood_ False Shadows_ Bogus Plots and What Lies B,,,,,,,,,106.15355573300943,24.202191859579656
16-Women petrified_ how and when women turn to stone from Shakespeare to Byatt,,,,,,,,,52.50298150881827,12.939759036144578
17-Care_ critique_ and contemporary literature_ the offerings of Sarah Moss_s Tidal Zone,,,,,,,115.55812762790943,43.333333333333336,73.47810120182177,24.812006187313326
17-Entropy_ melody_ beauty_ composing with information theory,,,,,,,98.19409158186014,25.73913043478261,79.71066914756612,26.503731390965438
17-The Self and Its Social_Ecological Other in E. M. Forster_s Howards End_ An Allergic Reading,120.23057285134364,25.136363636363637,,,,,113.16012307219492,25.833333333333332,101.01956102459495,27.07206419556448
17-_We_re Still Inside the Fucking paradigm___ Flagging the Crisis of Attention in Eleanor Catton,127.22461197339246,26.47826086956522,,,,,96.99547029567256,28.615384615384617,84.55957195704717,23.109945392298336
18-A site for self-fashioning_ everyday life_ expatriate women_ and formative locale in Ann Bridg,118.20171436832766,38.44444444444444,,,,,81.28900933424713,26.666666666666668,82.1158981021783,20.868608124253285
18-Monstrous Reproduction_ Monstrous Evolution_ and Extinction Anxiety in Steve Alten_s MEG Books,,,,,,,,,141.35219386436387,21.12134530208627
18-New Evidence About The Strolling Actor George Jolly _1613_ca. 1683_,,,,,,,,,63.44820724594018,17.718503937007874
19-Disneyland and Its Discontents_ J.G. Ballard and the Commodification of Dissent,176.87997468025708,21.523809523809526,,,,,230.29834979388374,28.3125,75.54211678167285,18.73968555164001
19-Revisiting OE holm-wudu in The Dream of the Rood_ The Salvific Ship and the Name of Mary,,,,,,,52.77634226580217,33.833333333333336,59.55719270244571,21.932623419299357
19-_Words without meaning__ deconstructing language and the Woolfian Saying in Between the Acts,,,,,,,,,83.62830404850817,18.84831744790713
20-Echoes of Silence and the Story of Many_ The Transmission of Intergenerational Trauma in Eliza,,,,,,,,,90.89725225913146,19.088311688311688
20-Metabolic Dystopia in Mo Yan_s The Republic of Wine,119.80966336935825,26.93548387096774,,,,,157.43650603563904,36.57142857142857,87.27694709779689,18.851360724391622
20-Reimagining refuge_ dual landscapes and the covert narrative of ecological belonging in Terry ,108.19198386634635,26.933333333333334,,,,,169.1682011890356,29.26086956521739,78.07048158175705,21.162844435043986
21-Haunted Laughter_ Spectral Justice and Satirical Memory in Percival Everett_s The Trees,179.98358598333158,23.25,,,,,179.04645560334768,23.77777777777778,130.16428010505015,21.957919768593925
21-The Revitalized Tudor and Chiron Myths in the Henriad_ Reviewing Shakespeare as a Historiograp,122.11205357142858,25.56,,,,,171.96195652173913,27.857142857142858,103.02710259154762,18.170400032508287
