category,relpath,size_human,bytes,lines,rows_est,mtime
grobid_tei,grobid_tei/21-Haunted Laughter_ Spectral Justice and Satirical Memory in Percival Everett_s The Trees.tei.xml,79.6KB,81521,,,2026-02-25T22:54:46
grobid_tei,grobid_tei/21-The Revitalized Tudor and Chiron Myths in the Henriad_ Reviewing Shakespeare as a Historiograp.tei.xml,81.8KB,83740,,,2026-02-25T22:54:48
grobid_tei,grobid_tei/21-To body or not to body__ Gender performativity and posthumanism in the actor-network of Jeanet.tei.xml,81.7KB,83688,,,2026-02-25T22:54:51
grobid_tei,grobid_tei/22-Civilizationism_ Secularism_ and Irony in Patience Agbabi_s _Joined-Up Writing_.tei.xml,93.3KB,95572,,,2026-02-25T22:54:54
grobid_tei,grobid_tei/22-Navigating neurotechnology and astrobiology in Richard Powers_s Bewilderment.tei.xml,59.0KB,60428,,,2026-02-25T22:54:56
grobid_tei,grobid_tei/22-The significance of Osip Mandelstam for Paul Celan.tei.xml,60.8KB,62230,,,2026-02-25T22:54:59
grobid_tei,grobid_tei/23-Empathy_ curiosity_ and critique_ an AI-assisted mapping of non-academic reception of Asian Am.tei.xml,93.9KB,96171,,,2026-02-25T22:55:02
grobid_tei,grobid_tei/23-Practical Alienation_ George Eliot_s Philosophical Experiments in Silas Marner _1861_.tei.xml,143.8KB,147259,,,2026-02-25T22:55:05
grobid_tei,grobid_tei/23-Scalar Anglosphere_ Wasteocene Waters and Vulnerable Bodies in Chioma Okereke_s Water Baby.tei.xml,59.8KB,61188,,,2026-02-25T22:55:08
grobid_tei,grobid_tei/24-Revisiting Soft Power Through the Translation of Chinese Science Fiction_ A Non-Confrontationa.tei.xml,103.8KB,106246,,,2026-02-25T22:55:11
grobid_tei,grobid_tei/24-Staging the state of exception_ William le Queux and the campaign for emergency powers in Brit.tei.xml,97.4KB,99736,,,2026-02-25T22:55:14
grobid_tei,grobid_tei/24-The Mother-Daughter Plot in Toni Morrison_s God Help the Child.tei.xml,86.8KB,88875,,,2026-02-25T22:55:17
grobid_tei,grobid_tei/25-Forgetting to remember_ Amnesia as Metaphor in Chinese North American Literature.tei.xml,83.9KB,85919,,,2026-02-25T22:55:20
grobid_tei,grobid_tei/25-Special Worlds_ Pastoral Elegy in Stephen Sexton_s If All the World and Love Were Young.tei.xml,94.8KB,97085,,,2026-02-25T22:55:23
grobid_tei,grobid_tei/25-Surviving marriage narratively. Storytelling through women_s friendships in Mary McCarthy_s Th.tei.xml,93.3KB,95505,,,2026-02-25T22:55:26
grobid_tei,grobid_tei/26-Event_ Catastrophe and Crisis in Don DeLillo_s The Silence_ _The Wrong Kind of Normal_.tei.xml,72.8KB,74595,,,2026-02-25T22:55:28
grobid_tei,grobid_tei/26-Paratextual Mediation and Narrative Reconstruction_ An Analysis of Footnotes in Sydney Owenson.tei.xml,55.3KB,56584,,,2026-02-25T22:55:30
grobid_tei,grobid_tei/26-Wilde avec Foucault_ technologies of the self in Epistola.tei.xml,72.2KB,73950,,,2026-02-25T22:55:34
grobid_tei,grobid_tei/27-Understanding Russell Atkins_s Poetry through His Plays.tei.xml,75.0KB,76766,,,2026-02-25T22:55:36
